Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-08,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,78.9,44.8,29.8
2026-06-08,3,Farm: outdoor,Apple,40.0,1.3,0.0,78.9,44.8,29.8
2026-06-08,3,Farm: outdoor,Beans,40.0,4.3,0.0,78.9,44.8,29.8
2026-06-08,3,Farm: outdoor,Corn,40.0,1.5,0.0,78.9,44.8,29.8
2026-06-08,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,78.9,44.8,29.8
2026-06-09,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,80.5,47.1,25.5
2026-06-09,3,Farm: outdoor,Apple,40.0,1.3,0.0,80.5,47.1,25.5
2026-06-09,3,Farm: outdoor,Beans,40.0,4.3,0.0,80.5,47.1,25.5
2026-06-09,3,Farm: outdoor,Corn,40.0,1.5,0.0,80.5,47.1,25.5
2026-06-09,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,80.5,47.1,25.5
2026-06-10,3,Farm: outdoor,Nectarine,41.0,1.4,0.0,85.4,43.8,26.9
2026-06-10,3,Farm: outdoor,Apple,41.0,1.4,0.0,85.4,43.8,26.9
2026-06-10,3,Farm: outdoor,Beans,41.0,4.4,0.0,85.4,43.8,26.9
2026-06-10,3,Farm: outdoor,Corn,41.0,1.6,0.0,85.4,43.8,26.9
2026-06-10,3,Farm: outdoor,Pumpkin,41.0,1.6,0.0,85.4,43.8,26.9
2026-06-11,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,88.4,49.8,29.2
2026-06-11,3,Farm: outdoor,Apple,40.0,1.3,0.0,88.4,49.8,29.2
2026-06-11,3,Farm: outdoor,Beans,40.0,4.3,0.0,88.4,49.8,29.2
2026-06-11,3,Farm: outdoor,Corn,40.0,1.5,0.0,88.4,49.8,29.2
2026-06-11,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,88.4,49.8,29.2
2026-06-12,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,86.9,53.5,33.4
2026-06-12,3,Farm: outdoor,Apple,40.0,1.3,0.0,86.9,53.5,33.4
2026-06-12,3,Farm: outdoor,Beans,40.0,4.3,0.0,86.9,53.5,33.4
2026-06-12,3,Farm: outdoor,Corn,40.0,1.5,0.0,86.9,53.5,33.4
2026-06-12,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,86.9,53.5,33.4
2026-06-13,3,Farm: outdoor,Nectarine,40.0,1.3,0.09,82.4,58.9,42.2
2026-06-13,3,Farm: outdoor,Apple,40.0,1.3,0.09,82.4,58.9,42.2
2026-06-13,3,Farm: outdoor,Beans,40.0,4.3,0.09,82.4,58.9,42.2
2026-06-13,3,Farm: outdoor,Corn,40.0,1.5,0.09,82.4,58.9,42.2
2026-06-13,3,Farm: outdoor,Pumpkin,40.0,1.5,0.09,82.4,58.9,42.2
2026-06-14,3,Farm: outdoor,Nectarine,40.0,1.3,0.31,82.5,51.7,58.8
2026-06-14,3,Farm: outdoor,Apple,40.0,1.3,0.31,82.5,51.7,58.8
2026-06-14,3,Farm: outdoor,Beans,40.0,4.3,0.31,82.5,51.7,58.8
2026-06-14,3,Farm: outdoor,Corn,40.0,1.5,0.31,82.5,51.7,58.8
2026-06-14,3,Farm: outdoor,Pumpkin,40.0,1.5,0.31,82.5,51.7,58.8
