Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-07-13,0,East landscaping,0.0,0.0,0.0,88.8,63.3,47.7
2026-07-13,1,West landscaping,0.0,0.0,0.0,88.8,63.3,47.7
2026-07-13,2,Farm: greenhouse,60.0,24.0,0.0,88.8,63.3,47.7
2026-07-13,3,Farm: outdoor,20.0,5.0,0.0,88.8,63.3,47.7
2026-07-14,0,East landscaping,0.0,0.0,0.14,85.8,56.2,51.9
2026-07-14,1,West landscaping,60.0,12.0,0.14,85.8,56.2,51.9
2026-07-14,2,Farm: greenhouse,60.0,24.0,0.14,85.8,56.2,51.9
2026-07-14,3,Farm: outdoor,20.0,5.0,0.14,85.8,56.2,51.9
2026-07-15,0,East landscaping,0.0,0.0,0.07,83.8,63.6,59.6
2026-07-15,1,West landscaping,0.0,0.0,0.07,83.8,63.6,59.6
2026-07-15,2,Farm: greenhouse,60.0,24.0,0.07,83.8,63.6,59.6
2026-07-15,3,Farm: outdoor,20.0,5.0,0.07,83.8,63.6,59.6
