Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-22,0,East landscaping,0.0,0.0,0.0,86.9,46.2,19.6
2026-06-22,1,West landscaping,0.0,0.0,0.0,86.9,46.2,19.6
2026-06-22,2,Farm: greenhouse,60.0,24.0,0.0,86.9,46.2,19.6
2026-06-22,3,Farm: outdoor,20.0,5.0,0.0,86.9,46.2,19.6
2026-06-23,0,East landscaping,0.0,0.0,0.02,89.8,51.9,30.1
2026-06-23,1,West landscaping,60.0,12.0,0.02,89.8,51.9,30.1
2026-06-23,2,Farm: greenhouse,60.0,24.0,0.02,89.8,51.9,30.1
2026-06-23,3,Farm: outdoor,20.0,5.0,0.02,89.8,51.9,30.1
2026-06-24,0,East landscaping,0.0,0.0,0.0,83.4,57.9,41.2
2026-06-24,1,West landscaping,0.0,0.0,0.0,83.4,57.9,41.2
2026-06-24,2,Farm: greenhouse,60.0,24.0,0.0,83.4,57.9,41.2
2026-06-24,3,Farm: outdoor,20.0,5.0,0.0,83.4,57.9,41.2
2026-06-25,0,East landscaping,0.0,0.0,0.0,83.9,55.9,48.6
2026-06-25,1,West landscaping,0.0,0.0,0.0,83.9,55.9,48.6
2026-06-25,2,Farm: greenhouse,60.0,24.0,0.0,83.9,55.9,48.6
2026-06-25,3,Farm: outdoor,20.0,5.0,0.0,83.9,55.9,48.6
